* This is the BiomeMobWeight report file that is output every time the server starts.
* 
* Spawn Balance Utility (SBU) will use this file ONLY if it is renamed to BiomeMobWeight.csv.
* Lines starting with '*' are comments and ignored
* When this file is read, SBU writes summary information to the log file.
* 
1, badlands, minecraft:badlands, MONSTER, minecraft:spider, 80, 4, 4
2, badlands, minecraft:badlands, MONSTER, minecraft:zombie, 80, 4, 4
3, badlands, minecraft:badlands, MONSTER, minecraft:zombie_villager, 10, 1, 1
4, badlands, minecraft:badlands, MONSTER, minecraft:skeleton, 80, 4, 4
5, badlands, minecraft:badlands, MONSTER, minecraft:creeper, 80, 4, 4
6, badlands, minecraft:badlands, MONSTER, minecraft:slime, 80, 4, 4
7, badlands, minecraft:badlands, MONSTER, minecraft:enderman, 5, 1, 4
8, badlands, minecraft:badlands, MONSTER, minecraft:witch, 5, 1, 1
9, badlands, minecraft:badlands, MONSTER, kaolinclayze:beast, 0, 0, 0
10, badlands, minecraft:badlands, MONSTER, enemyexpansion:crawler, 50, 1, 2
11, badlands, minecraft:badlands, MONSTER, enemyexpansion:direwolf, 80, 2, 4
12, badlands, minecraft:badlands, MONSTER, enemyexpansion:equestrian, 20, 1, 1
13, badlands, minecraft:badlands, MONSTER, enemyexpansion:faller, 50, 1, 2
14, badlands, minecraft:badlands, MONSTER, luminous_monsters:glacial_zombie, 80, 1, 3
15, badlands, minecraft:badlands, MONSTER, enemyexpansion:huntsman, 50, 1, 1
16, badlands, minecraft:badlands, MONSTER, kaolinclayze:iloger_1, 0, 0, 0
17, badlands, minecraft:badlands, MONSTER, kaolinclayze:iloger_2, 0, 0, 0
18, badlands, minecraft:badlands, MONSTER, kaolinclayze:iloger_3, 0, 0, 0
19, badlands, minecraft:badlands, MONSTER, kaolinclayze:iloger_4, 0, 0, 0
20, badlands, minecraft:badlands, MONSTER, kaolinclayze:iloger_5, 0, 0, 0
21, badlands, minecraft:badlands, MONSTER, kaolinclayze:iloger_6, 0, 0, 0
22, badlands, minecraft:badlands, MONSTER, enemyexpansion:intruder, 50, 1, 2
23, badlands, minecraft:badlands, MONSTER, enemyexpansion:meature, 20, 1, 5
24, badlands, minecraft:badlands, MONSTER, enemyexpansion:silverqueen, 10, 1, 1
25, badlands, minecraft:badlands, MONSTER, enemyexpansion:slugger, 40, 1, 1
26, badlands, minecraft:badlands, MONSTER, enemyexpansion:sprinter, 70, 1, 1
27, badlands, minecraft:badlands, MONSTER, enemyexpansion:troll, 10, 1, 1
28, badlands, minecraft:badlands, MONSTER, enemyexpansion:vampflyer, 20, 1, 1
29, badlands, minecraft:badlands, MONSTER, enemyexpansion:vampire, 20, 1, 1
30, badlands, minecraft:badlands, MONSTER, kaolinclayze:wiloger, 0, 0, 0
31, badlands, minecraft:badlands, CREATURE, naturalist:cardinal, 10, 3, 4
32, badlands, minecraft:badlands, CREATURE, naturalist:vulture, 10, 3, 5
33, badlands, minecraft:badlands, CREATURE, ytech:aurochs, 10, 2, 6
34, badlands, minecraft:badlands, CREATURE, ytech:deer, 15, 4, 8
35, badlands, minecraft:badlands, CREATURE, ytech:fowl, 10, 2, 6
36, badlands, minecraft:badlands, CREATURE, ytech:mouflon, 10, 2, 6
37, badlands, minecraft:badlands, CREATURE, ytech:saber_tooth_tiger, 10, 1, 3
38, badlands, minecraft:badlands, CREATURE, ytech:woolly_mammoth, 10, 2, 6
39, badlands, minecraft:badlands, CREATURE, minecraft:pig, 15, 1, 1
40, badlands, minecraft:badlands, AMBIENT, minecraft:bat, 10, 8, 8
41, badlands, minecraft:badlands, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
42, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:spider, 80, 4, 4
43, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:zombie, 80, 4, 4
44, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:zombie_villager, 10, 1, 1
45, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:skeleton, 80, 4, 4
46, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:creeper, 80, 4, 4
47, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:slime, 80, 4, 4
48, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:enderman, 5, 1, 4
49, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:witch, 5, 1, 1
50, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:ocelot, 10, 1, 1
51, jungle, minecraft:bamboo_jungle, MONSTER, kaolinclayze:beast, 0, 0, 0
52, jungle, minecraft:bamboo_jungle, MONSTER, enemyexpansion:crawler, 50, 1, 2
53, jungle, minecraft:bamboo_jungle, MONSTER, enemyexpansion:direwolf, 80, 2, 4
54, jungle, minecraft:bamboo_jungle, MONSTER, enemyexpansion:equestrian, 20, 1, 1
55, jungle, minecraft:bamboo_jungle, MONSTER, enemyexpansion:faller, 50, 1, 2
56, jungle, minecraft:bamboo_jungle, MONSTER, luminous_monsters:glacial_zombie, 80, 1, 3
57, jungle, minecraft:bamboo_jungle, MONSTER, enemyexpansion:huntsman, 50, 1, 1
58, jungle, minecraft:bamboo_jungle, MONSTER, kaolinclayze:iloger_1, 0, 0, 0
59, jungle, minecraft:bamboo_jungle, MONSTER, kaolinclayze:iloger_2, 0, 0, 0
60, jungle, minecraft:bamboo_jungle, MONSTER, kaolinclayze:iloger_3, 0, 0, 0
61, jungle, minecraft:bamboo_jungle, MONSTER, kaolinclayze:iloger_4, 0, 0, 0
62, jungle, minecraft:bamboo_jungle, MONSTER, kaolinclayze:iloger_5, 0, 0, 0
63, jungle, minecraft:bamboo_jungle, MONSTER, kaolinclayze:iloger_6, 0, 0, 0
64, jungle, minecraft:bamboo_jungle, MONSTER, enemyexpansion:intruder, 50, 1, 2
65, jungle, minecraft:bamboo_jungle, MONSTER, enemyexpansion:meature, 20, 1, 5
66, jungle, minecraft:bamboo_jungle, MONSTER, enemyexpansion:silverqueen, 10, 1, 1
67, jungle, minecraft:bamboo_jungle, MONSTER, enemyexpansion:slugger, 40, 1, 1
