[11:11:58] [main/INFO]: ModLauncher running: args [--username, Den_lille, --version, forge-47.3.33, --gameDir, C:\Users\Antoine\curseforge\minecraft\Instances\New Project, --assetsDir, C:\Users\Antoine\curseforge\minecraft\Install\assets, --assetIndex, 5, --uuid, 7ed56862d5bd49fa942d17b4a366804a, --accessToken, ????????, --clientId, NjZkYTA1MjctMjUyYi00YmRhLWE1MTAtODdiZWFhNGIzY2Uy, --xuid, 2535408021963911, --userType, msa, --versionType, release, --width, 1024, --height, 768, --quickPlayPath, C:\Users\Antoine\curseforge\minecraft\Install\quickPlay\java\1747991516766.json, --launchTarget, forgeclient, --fml.forgeVersion, 47.3.33, --fml.mcVersion, 1.20.1, --fml.forgeGroup, net.minecraftforge, --fml.mcpVersion, 20230612.114412]
[11:11:58] [main/INFO]: ModLauncher 10.0.9+10.0.9+main.dcd20f30 starting: java version 17.0.15 by Microsoft; OS Windows 10 arch amd64 version 10.0
[11:11:59] [main/INFO]: Loading ImmediateWindowProvider fmlearlywindow
[11:11:59] [main/INFO]: Trying GL version 4.6
[11:11:59] [main/INFO]: Requested GL version 4.6 got version 4.6
[11:11:59] [main/INFO]: Mixin Transmogrifier is definitely up to no good...
[11:11:59] [main/INFO]: crimes against java were committed
[11:11:59] [main/INFO]: Original mixin transformation service successfully crobbed by mixin-transmogrifier!
[11:11:59] [main/INFO]: SpongePowered MIXIN Subsystem Version=0.8.5 Source=union:/C:/Users/Antoine/curseforge/minecraft/Instances/New%20Project/mods/Connector-1.0.0-beta.46+1.20.1.jar%23315%23318!/ Service=ModLauncher Env=CLIENT
[11:11:59] [pool-2-thread-1/INFO]: GL info: NVIDIA GeForce RTX 4070/PCIe/SSE2 GL version 4.6.0 NVIDIA 566.14, NVIDIA Corporation
[11:11:59] [main/INFO]: Found mod file Connector-1.0.0-beta.46+1.20.1-mod.jar of type MOD with provider org.sinytra.connector.locator.ConnectorEarlyLocator@719843e5
[11:12:00] [main/INFO]: Found mod file accessories-neoforge-1.0.0-beta.46+1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file AI-Improvements-1.20-0.5.2.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file AmbientEnvironment-forge-1.20.1-11.0.0.1.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file AmbientSounds_FORGE_v6.1.4_mc1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
[11:12:00] [main/INFO]: Found mod file AngryMobs-1.20.1-4.1.0.jar of type MOD with provider {mods folder locator at C:\Users\Antoine\curseforge\minecraft\Instances\New Project\mods}
